hotel_name,price_cny,room_type,review_score,detail_link,location_desc,location_score,distance_to_centre,city,checkin,checkout,scraped_at
City Hotel Stuttgart,760,Triple Room with Private Bathroom,7.7,https://www.booking.com/hotel/de/city-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6895103_409772339_3_2_0&highlighted_blocks=6895103_409772339_3_2_0&matching_block_id=6895103_409772339_3_2_0&sr_pri_blocks=6895103_409772339_3_2_0__19720&from=searchresults,0.4 miles from downtown,N/A,0.4 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Abalon Hotel ideal,832,Deluxe Triple Room,7.6,https://www.booking.com/hotel/de/abalon-hotelideal.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6344920_381387903_0_2_0_332308&highlighted_blocks=6344920_381387903_0_2_0_332308&matching_block_id=6344920_381387903_0_2_0_332308&sr_pri_blocks=6344920_381387903_0_2_0_332308_21584&from=searchresults,0.4 miles from downtown,N/A,0.4 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Relax Hotel & SPA Stuttgart,921,Standard Double Room,6.9,https://www.booking.com/hotel/de/relax-wellnesshotel-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6261503_438760672_2_0_0&highlighted_blocks=6261503_438760672_2_0_0&matching_block_id=6261503_438760672_2_0_0&sr_pri_blocks=6261503_438760672_2_0_0__23906&from=searchresults,1.9 miles from downtown,N/A,1.9 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Astoria am Urachplatz,667,Triple Room,7.0,https://www.booking.com/hotel/de/bermeisterstuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6190512_386115775_0_2_0_525796&highlighted_blocks=6190512_386115775_0_2_0_525796&matching_block_id=6190512_386115775_0_2_0_525796&sr_pri_blocks=6190512_386115775_0_2_0_525796_17302&from=searchresults,1.2 miles from downtown,N/A,1.2 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Jugendherberge Stuttgart International,885,Twin Room,8.2,https://www.booking.com/hotel/de/jugendherberge-stuttgart-international.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=41447302_395209148_2_41_0&highlighted_blocks=41447302_395209148_2_41_0&matching_block_id=41447302_395209148_2_41_0&sr_pri_blocks=41447302_395209148_2_41_0__22953&from=searchresults,0.7 miles from downtown,N/A,0.7 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Wartburg,929,Double Room,8.3,https://www.booking.com/hotel/de/wartburg-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6935407_194813806_2_2_0&highlighted_blocks=6935407_194813806_2_2_0&matching_block_id=6935407_194813806_2_2_0&sr_pri_blocks=6935407_194813806_2_2_0__24112&from_sustainable_property_sr=1&from=searchresults,0.3 miles from downtown,9.4,0.3 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
MASEVEN Stuttgart SI Centrum ehem SI-SUITES,934,Superior Room,8.4,https://www.booking.com/hotel/de/sisuites.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6083108_424124235_2_2_0_637527&highlighted_blocks=6083108_424124235_2_2_0_637527&matching_block_id=6083108_424124235_2_2_0_637527&sr_pri_blocks=6083108_424124235_2_2_0_637527_24224&from=searchresults,3.7 miles from downtown,N/A,3.7 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Hotel Waldhorn,641,Double Room,8.2,https://www.booking.com/hotel/de/waldhorn-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6822802_411279255_2_2_0&highlighted_blocks=6822802_411279255_2_2_0&matching_block_id=6822802_411279255_2_2_0&sr_pri_blocks=6822802_411279255_2_2_0__16636&from=searchresults,2.1 miles from downtown,N/A,2.1 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
Wyndham Stuttgart Airport Messe,973,Triple Room,8.2,https://www.booking.com/hotel/de/wyndham-stuttgart-airport-messe.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=21&hapos=21&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=31931719_246025711_2_2_0_1381244&highlighted_blocks=31931719_246025711_2_2_0_1381244&matching_block_id=31931719_246025711_2_2_0_1381244&sr_pri_blocks=31931719_246025711_2_2_0_1381244_25234&from_sustainable_property_sr=1&from=searchresults,5.8 miles from downtown,9.3,5.8 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
B&B Hotel Stuttgart-Bad Cannstatt,724,Family Room,8.0,https://www.booking.com/hotel/de/b-amp-b-stuttgart-bad-cannstatt.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=23&hapos=23&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=358137905_430051846_2_2_0&highlighted_blocks=358137905_430051846_2_2_0&matching_block_id=358137905_430051846_2_2_0&sr_pri_blocks=358137905_430051846_2_2_0__18785&from_sustainable_property_sr=1&from=searchresults,2.4 miles from downtown,N/A,2.4 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
