hotel_name,price_cny,room_type,review_score,detail_link,location_desc,location_score,distance_to_centre,city,checkin,checkout,scraped_at
Hotel Lamm,548,Standard Triple Room,6.5,https://www.booking.com/hotel/de/lamm-stuttgart.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zdHV0dGdhcnRIMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRypjTBsACAdICJDQzYTI3MDRjLTU3YjEtNDM1OC1iMTI1LTdjNzhhMjNlMDQ5NNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-25&checkout=2027-07-27&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=24&hapos=24&sr_order=popularity&srpvid=6c456b887039005a&srepoch=1785079064&all_sr_blocks=6868509_370747610_3_0_0&highlighted_blocks=6868509_370747610_3_0_0&matching_block_id=6868509_370747610_3_0_0&sr_pri_blocks=6868509_370747610_3_0_0__14206&from=searchresults,2 miles from downtown,N/A,2 miles from downtown,Stuttgart,2027-07-25,2027-07-27,2026-07-26 15:17:14
"Châtelet, rue de la Ferronnerie - ID 161","1,395",Apartment,8.0,https://www.booking.com/hotel/fr/paris-1st-chatelet-les-halles-rue-ferronnerie-id-161.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9wYXJpcyBjaGF0ZWxldEgxWARosgKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqrMmNMGwAIB0gIkMzBmM2M5NGEtYTI3NC00ZGQ2LWI2OWUtZTY5OWQ0YmViMWYx2AIB4AIB&ucfs=1&arphpl=1&checkin=2027-07-27&checkout=2027-07-30&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=797d6c15506d0294&srepoch=1785079347&all_sr_blocks=217880101_104871546_0_0_0&highlighted_blocks=217880101_104871546_0_0_0&matching_block_id=217880101_104871546_0_0_0&sr_pri_blocks=217880101_104871546_0_0_0__62673&from=searchresults,0.1 miles from Châtelet-Les Halles RER Station,10,0.1 miles from Châtelet-Les Halles RER Station,Paris Chatelet,2027-07-27,2027-07-30,2026-07-26 15:17:14
Appartement de Brigitte,"1,402",One-Bedroom Apartment,9.1,https://www.booking.com/hotel/fr/appartement-de-brigitte-paris.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9wYXJpcyBjaGF0ZWxldEgxWARosgKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqrMmNMGwAIB0gIkMzBmM2M5NGEtYTI3NC00ZGQ2LWI2OWUtZTY5OWQ0YmViMWYx2AIB4AIB&ucfs=1&arphpl=1&checkin=2027-07-27&checkout=2027-07-30&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=797d6c15506d0294&srepoch=1785079347&all_sr_blocks=1299480101_402837128_3_0_0&highlighted_blocks=1299480101_402837128_3_0_0&matching_block_id=1299480101_402837128_3_0_0&sr_pri_blocks=1299480101_402837128_3_0_0__54545&from=searchresults,0.5 miles from Châtelet-Les Halles RER Station,N/A,0.5 miles from Châtelet-Les Halles RER Station,Paris Chatelet,2027-07-27,2027-07-30,2026-07-26 15:17:14
Apartement center of Paris,"1,233",Apartment,8.5,https://www.booking.com/hotel/fr/apartement-center-of-paris.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9wYXJpcyBjaGF0ZWxldEgxWARosgKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqrMmNMGwAIB0gIkMzBmM2M5NGEtYTI3NC00ZGQ2LWI2OWUtZTY5OWQ0YmViMWYx2AIB4AIB&ucfs=1&arphpl=1&checkin=2027-07-27&checkout=2027-07-30&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=24&hapos=24&sr_order=popularity&srpvid=797d6c15506d0294&srepoch=1785079347&all_sr_blocks=1525477301_424178749_4_0_0&highlighted_blocks=1525477301_424178749_4_0_0&matching_block_id=1525477301_424178749_4_0_0&sr_pri_blocks=1525477301_424178749_4_0_0__59624&from=searchresults,0.5 miles from Châtelet-Les Halles RER Station,N/A,0.5 miles from Châtelet-Les Halles RER Station,Paris Chatelet,2027-07-27,2027-07-30,2026-07-26 15:17:14
Aubriot MARAIS,767,One-Bedroom Apartment,N/A,https://www.booking.com/hotel/fr/aubriot-marais.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9wYXJpcyBjaGF0ZWxldEgxWARosgKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqrMmNMGwAIB0gIkMzBmM2M5NGEtYTI3NC00ZGQ2LWI2OWUtZTY5OWQ0YmViMWYx2AIB4AIB&ucfs=1&arphpl=1&checkin=2027-07-27&checkout=2027-07-30&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=25&hapos=25&sr_order=popularity&srpvid=797d6c15506d0294&srepoch=1785079347&all_sr_blocks=1691318601_440779146_4_0_0&highlighted_blocks=1691318601_440779146_4_0_0&matching_block_id=1691318601_440779146_4_0_0&sr_pri_blocks=1691318601_440779146_4_0_0__29859&from=searchresults,0.6 miles from Châtelet-Les Halles RER Station,N/A,0.6 miles from Châtelet-Les Halles RER Station,Paris Chatelet,2027-07-27,2027-07-30,2026-07-26 15:17:14
Milano Central Station,73,N/A,9.6,https://www.booking.com/hotel/it/milano-simply-charming.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&soh=1&from=searchresults#no_availability_msg,N/A,9.4,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
"Mussi, 10 - Between CityLife and Sempione",991,Two-Bedroom Apartment,N/A,https://www.booking.com/hotel/it/mussi-10-between-citylife-and-sempione.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1693636301_441012060_2_0_0&highlighted_blocks=1693636301_441012060_2_0_0&matching_block_id=1693636301_441012060_2_0_0&sr_pri_blocks=1693636301_441012060_2_0_0__52556&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
AN Hotel Milano Melegnano,"1,059",Family Room with Garden View,8.4,https://www.booking.com/hotel/it/an-milano-melegnano.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1083920503_428136310_2_2_0&highlighted_blocks=1083920503_428136310_2_2_0&matching_block_id=1083920503_428136310_2_2_0&sr_pri_blocks=1083920503_428136310_2_2_0__41209&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Tesorella guest house,520,Twin Room,9.2,https://www.booking.com/hotel/it/tesorella-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1620862202_432959136_2_0_0&highlighted_blocks=1620862202_432959136_2_0_0&matching_block_id=1620862202_432959136_2_0_0&sr_pri_blocks=1620862202_432959136_2_0_0__20250&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Francavilla Home,641,Classic Apartment,9.2,https://www.booking.com/hotel/it/francavilla-home-pieve-emanuele.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1284952102_423168591_2_0_0&highlighted_blocks=1284952102_423168591_2_0_0&matching_block_id=1284952102_423168591_2_0_0&sr_pri_blocks=1284952102_423168591_2_0_0__25403&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Ca del Trima,827,Superior Studio,8.7,https://www.booking.com/hotel/it/ca-del-portone.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=732045206_367083446_2_0_0&highlighted_blocks=732045206_367083446_2_0_0&matching_block_id=732045206_367083446_2_0_0&sr_pri_blocks=732045206_367083446_2_0_0__32198&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Albergo Dei Laghi,939,Triple Room,8.6,https://www.booking.com/hotel/it/albergo-dei-laghi.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=18728305_376707778_3_1_0&highlighted_blocks=18728305_376707778_3_1_0&matching_block_id=18728305_376707778_3_1_0&sr_pri_blocks=18728305_376707778_3_1_0__36549&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
"Abruzzi Home, delizioso appartamento e confortevole accanto a Metropolitana Linea Verde, con parcheggio gratuito in strada",883,One-Bedroom Apartment,7.2,https://www.booking.com/hotel/it/abruzzi-home-delizioso-appartamento-e-confortevole-accanto-a-met-cologno-monzes2.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1604943901_431419675_2_0_0&highlighted_blocks=1604943901_431419675_2_0_0&matching_block_id=1604943901_431419675_2_0_0&sr_pri_blocks=1604943901_431419675_2_0_0__34364&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
RRRapido Hotel,467,Classic Triple Room,8.4,https://www.booking.com/hotel/it/rrrapido.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1226804003_399556294_2_0_0_516309&highlighted_blocks=1226804003_399556294_2_0_0_516309&matching_block_id=1226804003_399556294_2_0_0_516309&sr_pri_blocks=1226804003_399556294_2_0_0_516309_20182&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Monza Park - Private Parking,491,Two-Bedroom Apartment,9.0,https://www.booking.com/hotel/it/monza-park-private-parking.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1597811001_441066005_4_0_0&highlighted_blocks=1597811001_441066005_4_0_0&matching_block_id=1597811001_441066005_4_0_0&sr_pri_blocks=1597811001_441066005_4_0_0__26091&from=searchresults,N/A,9.4,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Hotel Tiffany Milano,"1,451",Triple Room,7.7,https://www.booking.com/hotel/it/tiffany-milano.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=8349703_431692159_0_2_0&highlighted_blocks=8349703_431692159_0_2_0&matching_block_id=8349703_431692159_0_2_0&sr_pri_blocks=8349703_431692159_0_2_0__56455&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Skyline Penthouse with AC,586,One-Bedroom Apartment,7.9,https://www.booking.com/hotel/it/attico-melzo.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1348630701_407200139_3_0_0&highlighted_blocks=1348630701_407200139_3_0_0&matching_block_id=1348630701_407200139_3_0_0&sr_pri_blocks=1348630701_407200139_3_0_0__29794&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Mahthildis Agriturismo B&B,981,Triple Room,9.3,https://www.booking.com/hotel/it/mahthildis-agriturismo-b-amp-b.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1001159810_420661688_3_2_0&highlighted_blocks=1001159810_420661688_3_2_0&matching_block_id=1001159810_420661688_3_2_0&sr_pri_blocks=1001159810_420661688_3_2_0__38882&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Oasi Bernareggio Smart Work & Relax,581,One-Bedroom Apartment,8.9,https://www.booking.com/hotel/it/oasi-bernareggio-smart-work-amp-relax.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1598422601_430851271_2_0_0&highlighted_blocks=1598422601_430851271_2_0_0&matching_block_id=1598422601_430851271_2_0_0&sr_pri_blocks=1598422601_430851271_2_0_0__25616&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
RRRapido Suites & Rooms - Assago,593,Single Room,8.2,https://www.booking.com/hotel/it/a-nice-sleeping-place-2.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=779523502_336321854_2_0_0%2C779523503_336321854_1_0_0&highlighted_blocks=779523502_336321854_2_0_0%2C779523503_336321854_1_0_0&matching_block_id=779523502_336321854_2_0_0&sr_pri_blocks=779523502_336321854_2_0_0__15818%2C779523503_336321854_1_0_0__15273&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
48 Cadorna - Sostify,"1,195",One-Bedroom Apartment,9.0,https://www.booking.com/hotel/it/48-cadorna-sostify.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1284692601_401403709_2_0_0&highlighted_blocks=1284692601_401403709_2_0_0&matching_block_id=1284692601_401403709_2_0_0&sr_pri_blocks=1284692601_401403709_2_0_0__46500&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Terrace Apartments - Milano & Rho Fiera,853,One-Bedroom Apartment with Terrace,8.0,https://www.booking.com/hotel/it/three-room-apartment-with-terrace-free-wifi.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=21&hapos=21&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1439752203_423934144_3_0_0&highlighted_blocks=1439752203_423934144_3_0_0&matching_block_id=1439752203_423934144_3_0_0&sr_pri_blocks=1439752203_423934144_3_0_0__35209&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
"""Giulio Cesare"" - Ampio ed elegante alloggio alle porte di Milano!","1,354",Two-Bedroom Apartment,9.8,https://www.booking.com/hotel/it/spacious-and-elegant-accommodation-near-milan.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=22&hapos=22&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1399098301_421786067_3_0_0&highlighted_blocks=1399098301_421786067_3_0_0&matching_block_id=1399098301_421786067_3_0_0&sr_pri_blocks=1399098301_421786067_3_0_0__57691&from=searchresults,N/A,9.5,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Il campanile,596,One-Bedroom Apartment,9.7,https://www.booking.com/hotel/it/il-campanile-corbetta.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=23&hapos=23&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1682759701_440010252_2_0_0&highlighted_blocks=1682759701_440010252_2_0_0&matching_block_id=1682759701_440010252_2_0_0&sr_pri_blocks=1682759701_440010252_2_0_0__25682&from=searchresults,N/A,10,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Les Maisons Manzoni,792,Two-Bedroom Apartment,10,https://www.booking.com/hotel/it/les-maisons-manzoni.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=24&hapos=24&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1690482302_440682715_2_0_0&highlighted_blocks=1690482302_440682715_2_0_0&matching_block_id=1690482302_440682715_2_0_0&sr_pri_blocks=1690482302_440682715_2_0_0__30818&from=searchresults,N/A,10,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
Casa Calipso,509,One-Bedroom Apartment,6.9,https://www.booking.com/hotel/it/casa-calipso-melzo.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9taWxhbiBjZW50cmFsIHN0YXRpb25IMVgEaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKuzpjTBsACAdICJGUwY2IwYWM2LWRlYmQtNGY2Ni05Nzg5LWQ3NDY2OGEyYjJjZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2027-07-30&checkout=2027-08-02&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ed216c979cb60248&srepoch=1785079608&all_sr_blocks=1306564701_403478960_2_0_0&highlighted_blocks=1306564701_403478960_2_0_0&matching_block_id=1306564701_403478960_2_0_0&sr_pri_blocks=1306564701_403478960_2_0_0__31821&from=searchresults,N/A,N/A,N/A,Milan Central Station,2027-07-30,2027-08-02,2026-07-26 15:17:14
